long_term_incentive,expenses,exercised_stock_options,from_messages,salary,director_fees,total_payments,restricted_stock,from_poi_to_this_person,from_this_person_to_poi,total_stock_value,bonus,restricted_stock_deferred,loan_advances,shared_receipt_with_poi,other,deferred_income,deferral_payments,to_messages,poi
601468.3346473365,94299.0,70288.48461552244,29.0,365788.0,-64655.73231748841,1061827.0,585062.0,38.0,1.0,585062.0,600000.0,-193793.67751471646,463038.21090701065,702.0,1740.0,-346106.42512560147,672118.8257991693,807.0,0
1586055.0,11200.0,6680544.0,164.75389897772953,267102.0,-430621.0427472038,5634343.0,3942714.0,56.413197868121934,28.933869713974843,10623258.0,1200000.0,-940973.3705628873,-1596879.4932056624,1176.6601149250673,2660303.0,-1386055.0,1295738.0,2044.7537992736325,0
704845.5676166979,78552.0,4890344.0,331.4411371688292,170941.0,-344656.9895860604,211725.0,1788391.0,19.725055591885464,35.947447046133234,6678735.0,350000.0,-652461.1804832919,-2994088.4372479795,802.7731517794873,12961.0,-400729.0,216857.2838969592,1584.9425306909252,0
650999.5139588931,55059.03414744884,651850.0,12.0,258905.58981708344,71994.26587339863,2631958.580589458,386335.0,10.0,0.0,1038185.0,1002262.0255310265,-109238.66188564175,1550417.9931809432,58.0,325699.758687119,-602301.2913766803,773163.7834418941,764.0,0
1617011.0,34039.0,5538001.0,32.0,243293.0,268781.0176308097,288682.0,853064.0,32.0,21.0,6391065.0,1500000.0,-946311.8474431239,-6281539.386172287,1035.0,11350.0,-3117011.0,2163068.519223176,1045.0,1
586891.2037528688,35018.0,114208.46181724453,582.1178488238236,267093.0,-177208.41170574096,628522.0,208510.0,33.4786422014065,11.204788597322445,208510.0,325000.0,-152833.2241470333,429845.53554785345,682.7571238900273,1411.0,-173662.7243081514,559366.564938414,1404.2012515594251,0
618850.2778019214,54071.96331498772,493489.0,28.0,276147.89885310456,18016.044882700662,1848227.0,462384.0,0.0,0.0,955873.0,1108667.1371800583,-386043.9341033271,-814383.3779338964,22.0,127870.41394507326,-1682910.5646430547,1848227.0,232.0,0
694862.0,137108.0,1104054.0,48.0,370448.0,930848.029070545,4099771.0,558801.0,58.0,26.0,1662855.0,2600000.0,-46901.940660175285,2129391.884598995,2228.0,297353.0,-1097005.9071085718,1131803.4109707582,2355.0,0
983346.0,76169.0,608750.0,1941.0,374125.0,113710.85281694226,3859065.0,524169.0,180.0,61.0,803094.0,1150000.0,-329825.0,1685423.8136626664,1847.0,52382.0,-934484.0,2157527.0,4009.0,0
632659.2746601502,43057.0,880290.0,222.0,197091.0,-7785.777856526489,1737629.0,409554.0,61.0,48.0,880290.0,400000.0,-409554.0,920329.184759957,742.0,778.0,-33333.0,1130036.0,1238.0,0
700203.7879504684,4994.0,2282768.0,17.0,130724.0,135141.1107237013,3100224.0,833809.2961953571,10.0,17.0,2282768.0,1119114.5790193416,-756379.2300268618,-259902.6406590175,119.0,406869.3132209582,-590768.4432059937,2964506.0,128.0,0
597209.5316180259,54492.7504638657,-20871.211932315025,716.0578708320484,210041.97726088157,-59756.83535003575,774401.0,463261.0,62.505368224384625,60.553962870765105,368705.0,919646.2643045355,-94556.0,493547.39524731296,1036.9885812124357,-32366.40235341061,24738.428755137953,774401.0,2038.1045728792087,0
831809.0,84208.0,765313.0,14.0,248546.0,48771.26286220248,2014835.0,189041.0,25.0,2.0,954354.0,850000.0,-151758.87626676983,1022231.6990952368,2326.0,272.0,-631892.6333023976,769504.7875037786,2475.0,0
476451.0,54707.88213951141,37666.73598519107,38.0,257486.0,-105609.00524403778,1545059.0,698920.0,37.0,13.0,698920.0,700000.0,-189605.05554163235,689261.2475511942,2565.0,111122.0,-475416.41965095024,799688.3435275874,2647.0,0
461912.0,54504.58482255787,2218275.0,12.0,214738.11136279302,278417.0708565203,966522.0,909433.0048325274,0.0,0.0,2218275.0,727452.5211850461,-322848.86001427716,1328808.2535822224,23.0,36656.72580359317,1815318.0915069599,504610.0,169.0,0
651926.9830450593,55593.87754320353,372205.0,598.0658967026937,423788.69513648376,381301.6002588966,2666344.9414231195,153686.0,75.78514042727973,56.794071353923925,372205.0,984966.7285922151,-153686.0,2793614.7216486824,1341.3153414786502,288865.10832701065,285450.8102886202,479379.9194928259,2221.961274694244,0
620683.9898513268,16514.0,93558.21853185166,40.0,288542.0,335202.38345023466,1490344.0,698242.0,240.0,11.0,698242.0,1200000.0,29767.883977299905,1460491.190607189,1132.0,101740.0,-144062.0,27610.0,1758.0,1
